dataType,name,scale,length,defaultValue,lowerBound,upperBound,comment,description
std::string,journey_name,,,default,,,Journey name,Journey name
std::string,journey_central_body,,,Sun,,,Journey central body name,Journey central body name
std::vector<int>,destination_list,,2,"[3, 4]","[-1, -1]","[inf, inf]","destination list, as indices from the Universe file","destination list, as indices from the Universe file"
std::vector<int>,sequence,,inf,[],1,inf,"flyby sequence, as indices from the Universe file","flyby sequence, as indices from the Universe file"
PhaseType,phase_type,,,2,0,11,"mission type, #0: MGALTS, #1: FBLTS, #2: MGALT, #3: FBLT, #4: PSBI, #5: PSFB, #6: MGAnDSMs, #7: CoastPhase, #8: SundmanCoastPhase, #9: variable (do not use), #10: ProbeEntryPhase, #11 ControlLawThrustPhase",phase type\n#0: MGALTS\n#1: FBLTS\n#2: MGALT\n#3: FBLT\n#4: PSBI\n#5: PSFB\n#6: MGAnDSMs\n#7: CoastPhase\n#8: SundmanCoastPhase\n#9: variable (do not use)\n#10 ProbeEntryPhase\n#11 ControlLawThrustPhase
size_t,impulses_per_phase,,,1,0,inf,impulses per phase,impulses per phase
ThrustControlLaw,thrust_control_law,,,1,1,2,"Thrust control law,#0: Cartesian, #1: Velocity direction, #2: anti-velocity direction",Thrust control law\n#0: Cartesian\n#1: Velocity direction\n1#2: anti-velocity direction
ControlMagnitudeType,force_unit_magnitude_control,,,0,0,2,"Force unit magnitude control?,#0: free control magnitude,#1: force unit magnitude,#2: force zero magnitude",Force unit magnitude control?\n#0: free control magnitude\n#1: force unit magnitude\n#2: force zero magnitude
bool,force_fixed_inertial_control,,,0,0,1,Force fixed inertial control? All control vectors in a phase must be identical if this is selected.,Force fixed inertial control? All control vectors in a phase must be identical if this is selected.
bool,override_num_steps,,,0,0,1,Override this journey's number of steps?,Override this journey's number of steps?
size_t,number_of_steps,,,20,1,inf,"Number of time steps for this journey, if overriden","Number of time steps for this journey, if overriden"
bool,override_duty_cycle,,,0,0,1,Journey override global duty cycle,Journey override global duty cycle
double,duty_cycle,,,1,0,1,Journey duty cycle,Journey duty cycle
bool,override_PropagatorType,,,0,0,1,override propagator type?,override propagator type?
PropagatorType,propagatorType,,,1,0,1,propagator type,propagator type
bool,override_integration_step_size,,,0,0,1,Override global integration step size?,Override global integration step size?
double,integration_step_size,,,86400,0,1000000,integration step size (s),integration step size (s)
bool,override_flyby_altitude_bounds,,,0,0,1,Override journey flyby altitude?,Override journey flyby altitude?
std::vector<double>,flyby_altitude_bounds,,2,"[300.0, 1.0e+6]","[0.0, 1.0]","[inf, inf]","Lower and upper bound on journey flyby altitude (only applies to the departure flyby, if there is one)","Lower and upper bound on journey flyby altitude (only applies to the departure flyby, if there is one)"
bool,PeriapseArrival_override_altitude,,,1,0,1,Override journey flyby altitude?,Override journey flyby altitude?
std::vector<double>,PeriapseArrival_altitude_bounds,,2,"[300.0, 1.0e+6]","[0.0, 1.0]","[inf, inf]",Lower and upper bound on journey flyby altitude (km),Lower and upper bound on journey flyby altitude (km)
std::vector<double>,PeriapseDeparture_altitude_bounds,,2,"[185.0, 185.0]","[0.0, 1.0]","[inf, inf]",PeriapseDeparture altitude bounds (in km),PeriapseDeparture altitude bounds (in km)
size_t,num_interior_control_points,,,1,1,inf,number of interior control points for parallel shooting phase types,number of interior control points for parallel shooting phase types
double,CoastPhaseMatchPointFraction,,,0.5,0,1,coast phase match point fraction,coast phase match point fraction
double,CoastPhaseForwardIntegrationStepLength,,,86400,0,1000000,coast phase forward integration step length (seconds),coast phase forward integration step length (seconds)
double,CoastPhaseBackwardIntegrationStepLength,,,86400,0,1000000,coast phase backward integration step length (seconds),coast phase backward integration step length (seconds)
double,journey_end_TCM,,,0,0,inf,Journey-end TCM magnitude (km/s),Journey-end TCM magnitude (km/s)
bool,enable_periapse_burns,,,0,0,1,Enable periapse burns in ephemeris pegged flybys?,Enable periapse burns in ephemeris pegged flybys?
bool,bounded_departure_date,,,0,0,1,Bound the departure epoch?,Bound the departure epoch?
int,timebounded,,,0,0,3,"0: unbounded, 1: bounded flight time, 2: bounded arrival date",does the journey have time bounds?\n#0: unbounded\n#1: bounded flight time\n#2: bounded arrival date\n#3: bounded aggregate flight time
std::vector<double>,departure_date_bounds,86400,2,"[0.0, 0.0]",0,inf,MJD,"Journey departure epoch bounds (MJD, two entries)"
std::vector<double>,wait_time_bounds,86400,2,"[0.0, 1000.0]",-inf,inf,days,Journey wait time bounds (days)
std::vector<double>,flight_time_bounds,86400,2,"[0.0, 0.0]",0,inf,days,Journey flight time bounds (days)
std::vector<double>,arrival_date_bounds,86400,2,"[51544.5, 60000.0]",0,inf,MJD,"Journey arrival date bounds (MJD, two entries)"
