dataType,name,scale,length,defaultValue,lowerBound,upperBound,comment,description
std::string,mission_name,,,default,,,mission name,mission name
ObjectiveFunctionType,objective_type,,,2,0,27,"objective type, see ObjectiveFunctionType in EMTG_enums.h",objective function type\n#0: minimum deltaV\n#1: minimum time\n#2: maximum final mass\n#3: maximize initial mass\n#4: depart as late as possible in the window\n#5: depart as early as possible in the window\n#6: maximize orbit energy\n#7: minimize launch mass\n#8: arrive as early as possible\n#9: arrive as late as possible\n#10: <PLACEHOLDER FOR FUTURE OBJECTIVE FUNCTIONS>\n#11: maximum dry/wet ratio\n#12: maximum arrival kinetic energy\n#13: minimum BOL power\n#14: maximize log_10(final mass)\n#15: maximum log_e(final mass)\n#16: maximum dry mass margin\n#17: maximum dry mass\n#18: maximum log_10(dry mass)\n#19: maximum log_e(dry mass)\n#20: minimize chemical fuel\n#21: minimize chemical oxidizer\n#22: minimize electric propellant\n#23: minimize total propellant\n#24: minimize waypoint tracking error\n#25: minimize initial impulse magnitude\n#26: maximize distance from central body
size_t,objective_journey,,,0,0,inf,Journey associated with objective function (if applicable),Journey associated with objective function (if applicable)
bool,include_initial_impulse_in_cost,,,0,0,1,Include the initial impulse in calculating the delta-v objective function?,Include the initial impulse in calculating the delta-v objective function?
bool,global_timebounded,,,1,0,1,"0: unbounded, 1: bounded total time (note that the global arrival date bound is by definition the same as the last journey's arrival date bound and is not duplicated","0: unbounded, 1: bounded total time (note that the global arrival date bound is by definition the same as the last journey's arrival date bound and is not duplicated"
double,launch_window_open_date,86400,,53782,0,inf,launch window open date (MJD),launch window open date (MJD)
std::vector<double>,total_flight_time_bounds,86400,2,"[0.0, 302]","[0.0, 1e-10]","[inf, inf]",flight time bounds (days),flight time bounds (days)
std::vector<double>,DLA_bounds,,2,"[-90.0, 90.0]","[-90.0, -90.0]","[90.0, 90.0]",DLA in degrees,DLA in degrees
std::vector<double>,RLA_bounds,,2,"[-2880.0, 2880.0]",-inf,inf,RLA in degrees,RLA in degrees
PhaseType,mission_type,,,2,0,11,"mission type, #0: MGALTS, #1: FBLTS, #2: MGALT, #3: FBLT, #4: PSBI, #5: PSFB, #6: MGAnDSMs, #7: CoastPhase, #8: SundmanCoastPhase, #9: variable phase type, #10: ProbeEntryPhase, #11 ControlLawThrustPhase",phase type\n#0: MGALTS\n#1: FBLTS\n#2: MGALT\n#3: FBLT\n#4: PSBI\n#5: PSFB\n#6: MGAnDSMs\n#7: CoastPhase\n#8: SundmanCoastPhase\n#9: variable phase type\n#10: ProbeEntryPhase\n#11 ControlLawThrustPhase
int,NLP_solver_type,,,0,0,1,"NLP solver type,#0: SNOPT,#1: WORHP",NLP solver type\n#0: SNOPT\n#1: WORHP
NLPMode,NLP_solver_mode,,,1,0,2,"NLP solver mode,#0: find feasible point only,#1: find optimal solution,#2: satisfy equality constraints",NLP solver mode\n#0: find feasible point only\n#1: find optimal solution\n#2: satisfy equality constraints
bool,quiet_NLP,,,1,0,1,Quiet NLP solver?,Quiet NLP solver?
bool,ACE_feasible_point_finder,,,0,0,1,Enable ACE feasible point finder?,Enable ACE feasible point finder?
bool,MBH_always_write_archive,,,0,0,1,"Write every hop to the MBH archive, even if it is not an improvement?","Write every hop to the MBH archive, even if it is not an improvement?"
bool,MBH_archive_state_vector,,,0,0,1,include state vector in MBH archive file?,include state vector in MBH archive file?
int,MBH_max_not_improve,,,10000,1,inf,quantity Max_not_improve for MBH,quantity Max_not_improve for MBH
int,MBH_max_trials,,,1000000,1,inf,maximum number of trials for MBH,maximum number of trials for MBH
int,MBH_max_run_time,,,60,0,inf,"maximum run time for MBH, in seconds","maximum run time for MBH, in seconds"
double,MBH_max_step_size,,,1,1.00E-10,inf,Maximum step size (uniform) or scale factor (other distributions),Maximum step size (uniform) or scale factor (other distributions)
int,MBH_hop_distribution,,,2,0,3,"MBH hop probabilty distribution,#0: uniform,#1: Cauchy,#2: Pareto,#3: Gaussian",MBH hop probabilty distribution\n#0: uniform\n#1: Cauchy\n#2: Pareto\n#3: Gaussian
double,MBH_Pareto_alpha,,,1.4,1.00E-10,inf,Pareto distribution alpha,Pareto distribution alpha
bool,MBH_write_every_improvement,,,0,0,1,Write every MBH improvement for later animation?,Write every MBH improvement for later animation?
double,MBH_time_hop_probability,,,0.05,0,1,probability of MBH time hop operation,probability of MBH time hop operation
double,snopt_feasibility_tolerance,,,1.00E-05,1.00E-10,1,feasibility tolerance,feasibility tolerance
double,snopt_optimality_tolerance,,,1.00E-05,1.00E-10,1,optimality tolerance,optimality tolerance
double,NLP_max_step,,,1,1.00E-10,1,NLP max step,NLP max step
size_t,snopt_major_iterations,,,8000,0,inf,NLP major iterations,NLP major iterations
size_t,snopt_minor_iterations,,,500,0,inf,NLP minor iterations,NLP minor iterations
int,snopt_max_run_time,,,15,0,inf,NLP max run time (seconds),NLP max run time (seconds)
bool,enable_Scalatron,,,1,0,1,Enable Scalatron?,Enable Scalatron?
bool,enable_NLP_chaperone,,,1,0,1,Enable NLP chaperone?,Enable NLP chaperone?
bool,seed_MBH,,,0,0,1,Seed MBH?,Seed MBH?
bool,skip_first_nlp_run,,,0,0,1,Skip first NLP run in an MBH process?,Skip first NLP run in an MBH process?
bool,NLP_stop_on_goal_attain,,,0,0,1,Stop NLP on goal attain?,Stop NLP on goal attain?
double,NLP_objective_goal,,,0,-inf,inf,Objective value at which NLP stops,Objective value at which NLP stops
int,MBH_RNG_seed,,,-1,-inf,inf,MBH RNG seed (negative number means system clock),MBH RNG seed (negative number means system clock)
bool,print_NLP_movie_frames,,,0,0,1,Print NLP movie frames?,Print NLP movie frames?
bool,quiet_basinhopping,,,0,0,1,Quiet MBH?,Quiet MBH?
std::string,SPICE_leap_seconds_kernel,,,naif0012.tls,,,SPICE leap seconds kernel - required for SPICE to work,SPICE leap seconds kernel - required for SPICE to work
std::string,SPICE_reference_frame_kernel,,,pck00010.tpc,,,SPICE_reference_frame_kernel,SPICE_reference_frame_kernel
std::string,universe_folder,,,C:/Utilities/Universe,,,Universe folder,Universe folder
int,ephemeris_source,,,2,0,2,"0: static, 1: SPICE (default to static if no SPICE file supplied for a body), 2: SplineEphem","0: static, 1: SPICE (default to static if no SPICE file supplied for a body), 2: SplineEphem"
size_t,SplineEphem_points_per_period,,,360,1,inf,How many sample points should SplineEphem use per orbital period of each body?,How many sample points should SplineEphem use per orbital period of each body?
size_t,SplineEphem_non_central_body_sun_points_per_period,,,10000,1,inf,How many sample points should SplineEphem use per orbital period of the sun with respect to the central body?,How many sample points should SplineEphem use per orbital period of the sun with respect to the central body?
bool,SplineEphem_truncate_ephemeris_at_maximum_mission_epoch,,,0,0,1,Truncate SplineEphem at maximum mission epoch?,"Truncate SplineEphem at maximum mission epoch?\n#If you enable this option, global search will be impeded but you will save a lot of memory\n#Useful for monte-carlo, launch period analysis, etc."
double,earliestPossibleEpoch,,,51554.5,33251,100000,Beginning of the SplineEphem data set,Beginning of the SplineEphem data set
double,latestPossibleEpoch,,,88058,33251,100000,End of the SplineEphem data set,End of the SplineEphem data set
PropagatorType,propagatorType,,,0,0,1,"Propagator type,#0: Keplerian propagator,#1: Integrated propagator",Propagator type\n#0: Keplerian propagator\n#1: Integrated propagator
IntegratorType,integratorType,,,1,0,1,"Integrator type,#0: rk7813M adaptive step,#1: rk8 fixed step",Integrator type\n#0: rk7813M adaptive step\n#1: rk8 fixed step
double,integrator_tolerance,,,1.00E-08,1.00E-12,1,adaptive step integrator tolerance,adaptive step integrator tolerance
double,integration_time_step_size,,,86400,1.00E-10,inf,"integration step size (maximum for adaptive, fixed for fixed)","integration step size (maximum for adaptive, fixed for fixed)"
int,num_timesteps,,,20,1,inf,number of timesteps per phase,number of timesteps per phase
size_t,spiral_segments,,,1,1,inf,number of spiral segments,number of spiral segments
bool,allow_initial_mass_to_vary,,,0,0,1,Allow the mass at the beginning of the first journey to vary up to the allowed maximum?,Allow the mass at the beginning of the first journey to vary up to the allowed maximum?
double,maximum_mass,,,525.2,1.00E-10,inf,maximum possible mass of the spacecraft (kg),maximum possible mass of the spacecraft (kg)
double,IspLT,,,3000,1,inf,specific impulse of the engine used for low-thrust maneuvers,specific impulse of the engine used for low-thrust maneuvers
double,IspLT_minimum,,,1,1,inf,minimum specific impulse for variable specific impulse problems,minimum specific impulse for variable specific impulse problems
double,IspChem,,,320,1,inf,specific impulse of the engine used for impulsive maneuvers,specific impulse of the engine used for impulsive maneuvers
double,Thrust,,,0.1,1.00E-10,inf,"thrust of the spacecraft, in Newtons","thrust of the spacecraft, in Newtons"
double,LV_margin,,,0,0,1,LV margin (as a fraction),LV margin (as a fraction)
double,LV_adapter_mass,,,0,0,inf,LV adapter mass (kg),LV adapter mass (kg)
